time	V(To_Dekoder,N002)
1.667286633901451e-003	1.404572e-002
1.667686452525172e-003	2.217865e-002
1.668090999723534e-003	3.266144e-002
1.668544602068516e-003	4.666901e-002
1.668734724975656e-003	5.323029e-002
1.668827851654417e-003	5.664063e-002
1.668874295964309e-003	5.836487e-002
1.668913777504528e-003	5.984497e-002
1.668957724970727e-003	6.148529e-002
1.668999165427924e-003	6.304932e-002
1.669074697838311e-003	6.589508e-002
1.669199319430623e-003	7.068634e-002
1.669330486390041e-003	7.585907e-002
1.669514084016488e-003	8.335114e-002
1.669717552833238e-003	9.204865e-002
1.670026029397353e-003	1.061707e-001
1.670503578360589e-003	1.300354e-001
1.671115185775429e-003	1.642761e-001
1.672031626179904e-003	2.231598e-001
1.673304323631472e-003	3.161163e-001
1.674101344564247e-003	3.805161e-001
1.674405958134451e-003	4.071732e-001
1.675015185274860e-003	4.639969e-001
1.676000000000000e-003	5.597000e-001
1.676098481472514e-003	5.696945e-001
1.676295444417542e-003	5.895004e-001
1.676689370307598e-003	6.283035e-001
1.677290202097595e-003	6.852646e-001
1.678491865677589e-003	7.911682e-001
1.680895192837578e-003	9.757004e-001
1.685701847157554e-003	1.266464e+000
1.693333630693409e-003	1.593307e+000
1.701287634489867e-003	1.806831e+000
1.711340343159903e-003	1.957077e+000
1.722452516622174e-003	2.041962e+000
1.737372387954999e-003	2.091858e+000
1.755342312486504e-003	2.114250e+000
1.781246873038894e-003	2.123360e+000
1.817201436694582e-003	2.126678e+000
1.881121170148935e-003	2.129387e+000
2.082000000000001e-003	2.137131e+000
2.092000000000000e-003	2.137497e+000
2.092126410892584e-003	2.137207e+000
2.092379232677752e-003	2.135925e+000
2.092884876248087e-003	2.130890e+000
2.093459495290674e-003	2.120422e+000
2.094608733375847e-003	2.084900e+000
2.096462843223452e-003	2.003845e+000
2.097256341758874e-003	1.960098e+000
2.097668123207941e-003	1.934082e+000
2.097880065560981e-003	1.920074e+000
2.097970625100283e-003	1.914001e+000
2.098075974926313e-003	1.906891e+000
2.098117723625758e-003	1.904083e+000
2.098157421225151e-003	1.901398e+000
2.098206891989073e-003	1.898056e+000
2.098254034887412e-003	1.894852e+000
2.098304530733546e-003	1.891418e+000
2.098368339841293e-003	1.887070e+000
2.098425924927562e-003	1.883118e+000
2.098505334247517e-003	1.877609e+000
2.098586549137882e-003	1.871948e+000
2.098676320769603e-003	1.865646e+000
2.098775682357546e-003	1.858566e+000
2.098943721825824e-003	1.846420e+000
2.099178465245825e-003	1.829041e+000
2.099549470701792e-003	1.800659e+000
2.100104787458038e-003	1.756348e+000
2.100918880995064e-003	1.688858e+000
2.101253780774510e-003	1.660263e+000
2.101330200441107e-003	1.653610e+000
2.101483039774299e-003	1.640198e+000
2.101694321333615e-003	1.621490e+000
2.102000000000000e-003	1.594299e+000
2.102003981891882e-003	1.593948e+000
2.102011945675646e-003	1.593231e+000
2.102155293783408e-003	1.580461e+000
2.102298641891171e-003	1.567800e+000
2.102441989998933e-003	1.555247e+000
2.102585338106695e-003	1.542802e+000
2.102728686214457e-003	1.530466e+000
2.102872034322219e-003	1.518238e+000
2.103015382429981e-003	1.506119e+000
2.104034746751845e-003	1.422867e+000
2.106073475395573e-003	1.269302e+000
2.109330303572546e-003	1.051468e+000
2.113020247513009e-003	8.353271e-001
2.114759111932910e-003	7.453918e-001
2.115745871735368e-003	6.990051e-001
2.116411998455704e-003	6.694031e-001
2.117034246093481e-003	6.428680e-001
2.117521067930380e-003	6.228790e-001
2.118180679139165e-003	5.967712e-001
2.118777662204968e-003	5.741119e-001
2.119633190964232e-003	5.431671e-001
2.120508572263860e-003	5.133362e-001
2.121907729409272e-003	4.692841e-001
2.123684368440128e-003	4.195404e-001
2.127138446035772e-003	3.397217e-001
2.133186477215302e-003	2.330933e-001
2.139623122840578e-003	1.529694e-001
2.145749170141308e-003	1.021118e-001
2.151505666476953e-003	7.019043e-002
2.157369928298234e-003	4.821777e-002
2.163249118088028e-003	3.324890e-002
2.169236094099742e-003	2.294922e-002
2.175198436913720e-003	1.602173e-002
2.181250976724858e-003	1.127625e-002
2.187343162240434e-003	8.087158e-003
2.193583171270907e-003	5.920410e-003
2.199957597456051e-003	4.440308e-003
2.206589271537756e-003	3.417969e-003
2.213527224574224e-003	2.761841e-003
2.220950297881049e-003	2.304077e-003
2.229004461134646e-003	1.998901e-003
2.237987542264948e-003	1.785278e-003
2.248228427871103e-003	1.647949e-003
2.260303346994099e-003	1.571655e-003
2.293740239989617e-003	1.419067e-003
2.494685984011878e-003	9.918213e-004
2.499000000000000e-003	9.765625e-004
2.499010333367298e-003	9.765625e-004
2.499031000101893e-003	9.613037e-004
2.499072333571082e-003	9.918213e-004
2.499148177374469e-003	1.068115e-003
2.499249768487612e-003	1.281738e-003
2.499366808588067e-003	1.647949e-003
2.499465490928647e-003	2.120972e-003
2.499585239109473e-003	2.883911e-003
2.499715309084658e-003	4.013062e-003
2.499963711136612e-003	6.958008e-003
2.500383053406013e-003	1.370239e-002
2.500732478874852e-003	2.113342e-002
2.501177278612324e-003	3.317261e-002
2.501611128891883e-003	4.789734e-002
2.502434042774210e-003	8.145142e-002
2.502820281734395e-003	9.928894e-002
2.502957149352385e-003	1.061249e-001
2.503025899178031e-003	1.096344e-001
2.503076854201336e-003	1.122437e-001
2.503129386543235e-003	1.149292e-001
2.503206651901406e-003	1.189117e-001
2.503300939914867e-003	1.238403e-001
2.503461176594938e-003	1.323242e-001
2.503626526349682e-003	1.413116e-001
2.503858938875444e-003	1.543884e-001
2.504170957004651e-003	1.728058e-001
2.504643436817422e-003	2.026367e-001
2.505338473852129e-003	2.504883e-001
2.506236415117898e-003	3.195343e-001
2.507647018683818e-003	4.416656e-001
2.509000000000000e-003	5.694122e-001
2.509135298131618e-003	5.831604e-001
2.509405894394855e-003	6.103210e-001
2.509947086921328e-003	6.632233e-001
2.510625305907543e-003	7.265778e-001
2.511981743879975e-003	8.431091e-001
2.514694619824837e-003	1.043152e+000
2.519997481654719e-003	1.346390e+000
2.527680544124583e-003	1.651535e+000
2.536045835762970e-003	1.855652e+000
2.546233341448703e-003	1.991913e+000
2.557991073708968e-003	2.070160e+000
2.573345184260033e-003	2.113678e+000
2.592561921914162e-003	2.132965e+000
2.619853393114041e-003	2.140305e+000
2.659496877799816e-003	2.143021e+000
2.730612069723707e-003	2.145538e+000
2.915892481843974e-003	2.151672e+000
2.925000000000000e-003	2.151978e+000
2.925106174740756e-003	2.151764e+000
2.925318524222266e-003	2.150848e+000
2.925743223185287e-003	2.147278e+000
2.926230376304901e-003	2.139771e+000
2.927204682544128e-003	2.113495e+000
2.928985649758057e-003	2.044861e+000
2.929640782565344e-003	2.012939e+000
2.929947806052785e-003	1.995834e+000
2.930073276660831e-003	1.988586e+000
2.930201509676583e-003	1.981125e+000
2.930233681531989e-003	1.979248e+000
2.930286392391556e-003	1.976151e+000
2.930337799687744e-003	1.973129e+000
2.930384266748346e-003	1.970383e+000
2.930439328265672e-003	1.967117e+000
2.930497958230339e-003	1.963623e+000
2.930579032088594e-003	1.958740e+000
2.930658394546887e-003	1.953903e+000
2.930753022755844e-003	1.948044e+000
2.930854644780978e-003	1.941696e+000
2.930966457746798e-003	1.934570e+000
2.931129957082796e-003	1.923950e+000
2.931373662727156e-003	1.907623e+000
2.931726779118520e-003	1.882996e+000
2.932242177466078e-003	1.845032e+000
