time	V(to_dekoder)
4.431452339238712e-004	1.129063e+000
4.439000715369768e-004	1.078240e+000
4.445414018541173e-004	1.036974e+000
4.451568721618270e-004	9.988305e-001
4.456212698196476e-004	9.710399e-001
4.461516962694911e-004	9.403996e-001
4.467700513013126e-004	9.059740e-001
4.474597846274682e-004	8.691770e-001
4.482630213912963e-004	8.284538e-001
4.493025881374036e-004	7.790090e-001
4.507278207900131e-004	7.169102e-001
4.529483563690164e-004	6.323135e-001
4.568627517458303e-004	5.110330e-001
4.628540571769534e-004	3.722579e-001
4.697434520143645e-004	2.618184e-001
4.761612980633222e-004	1.945517e-001
4.827293041267787e-004	1.503867e-001
4.894548863761400e-004	1.213739e-001
4.968573275343492e-004	1.013427e-001
5.047684776240089e-004	8.834941e-002
5.137075671460370e-004	7.989517e-002
5.237602539415474e-004	7.476133e-002
5.357718633609752e-004	7.175428e-002
5.502810945604919e-004	7.019061e-002
5.690362863506815e-004	6.947878e-002
5.942154760171592e-004	6.922793e-002
6.317341789788469e-004	6.916946e-002
8.268267622331383e-004	6.916472e-002
8.330000000000000e-004	6.916472e-002
8.330192877560162e-004	6.916918e-002
8.330578632680489e-004	6.918901e-002
8.331350142921140e-004	6.926957e-002
8.332097358551330e-004	6.942409e-002
8.333591789811711e-004	6.993696e-002
8.334688689035458e-004	7.049477e-002
8.335915322372888e-004	7.134893e-002
8.337119815901088e-004	7.245713e-002
8.339528802957487e-004	7.553570e-002
8.344346777070287e-004	8.342645e-002
8.345763300359339e-004	8.621707e-002
8.346624021952941e-004	8.812229e-002
8.347505907216770e-004	9.013765e-002
8.348184840764319e-004	9.172349e-002
8.348902085526957e-004	9.345581e-002
8.350336575052231e-004	9.708351e-002
8.351896415520925e-004	1.012718e-001
8.353649368472181e-004	1.063806e-001
8.356500257407995e-004	1.155477e-001
8.360046269499619e-004	1.284920e-001
8.365849775812352e-004	1.531637e-001
8.373146949466501e-004	1.903542e-001
8.384831731675096e-004	2.633213e-001
8.400477990287569e-004	3.780298e-001
8.405817655533542e-004	4.230796e-001
8.416496986025487e-004	5.246962e-001
8.430000000000000e-004	6.621316e-001
8.431350301397452e-004	6.768042e-001
8.434050904192355e-004	7.057667e-001
8.439452109782159e-004	7.618726e-001
8.450254520961769e-004	8.670974e-001
8.471859343320990e-004	1.052860e+000
8.515068988039431e-004	1.348842e+000
8.593311738617004e-004	1.733259e+000
8.669360013621094e-004	1.970210e+000
8.771475839418094e-004	2.147475e+000
8.877553738871437e-004	2.242776e+000
9.027304501739821e-004	2.301661e+000
9.198814278778369e-004	2.327071e+000
9.455528270010241e-004	2.337106e+000
9.794889702137335e-004	2.339730e+000
1.000000000000000e-003	2.339941e+000
1.006181044170393e-003	2.339969e+000
1.018543132511178e-003	2.340024e+000
1.051465542152438e-003	2.340178e+000
1.084387951793699e-003	2.340332e+000
1.117310361434959e-003	2.340486e+000
1.150232771076219e-003	2.340639e+000
1.183155180717479e-003	2.340793e+000
1.216077590358740e-003	2.340946e+000
1.249000000000000e-003	2.341100e+000
1.259000000000000e-003	2.341146e+000
1.259371562267707e-003	2.338398e+000
1.260114686803120e-003	2.327021e+000
1.261600935873947e-003	2.280315e+000
1.263959315600698e-003	2.164667e+000
1.264975825593144e-003	2.098410e+000
1.265712981877316e-003	2.041870e+000
1.265991352313238e-003	2.019282e+000
1.266165134018300e-003	2.004880e+000
1.266213637497902e-003	2.000838e+000
1.266257166376719e-003	1.997194e+000
1.266310206422322e-003	1.992734e+000
1.266393239772062e-003	1.985715e+000
1.266475730174143e-003	1.978695e+000
1.266581602704644e-003	1.969604e+000
1.266749209870400e-003	1.955037e+000
1.267003283327798e-003	1.932562e+000
1.267404155620919e-003	1.896178e+000
1.268095930055570e-003	1.831915e+000
1.268245235280098e-003	1.817752e+000
1.268543845729154e-003	1.788894e+000
1.269000000000000e-003	1.744422e+000
1.269008906380284e-003	1.743545e+000
1.269026719140851e-003	1.741792e+000
1.269347348831060e-003	1.710619e+000
1.269667978521269e-003	1.680063e+000
1.269988608211479e-003	1.650124e+000
1.270309237901688e-003	1.620801e+000
1.270629867591897e-003	1.592095e+000
1.270950497282106e-003	1.564005e+000
1.271271126972315e-003	1.536532e+000
1.273551160324914e-003	1.355897e+000
